StaffID,Name,Phone,Address,Gender,Email,DOB
1,Randie Seagar,490-263-0144,3148 Novick Hill,Male,rseagar0@prlog.org,1/23/1979
2,Penni Dalbey,124-185-9700,3 Bobwhite Terrace,Female,pdalbey1@marriott.com,5/1/1980
3,Marline Albone,926-262-2534,4483 Main Way,Female,malbone2@geocities.com,3/28/1987
4,Tades Davley,190-194-2947,338 Schlimgen Junction,Male,tdavley3@umich.edu,12/5/1976
5,Reider Shurmore,662-417-7165,1214 Morningstar Terrace,Male,rshurmore4@mit.edu,3/14/1988
6,Alister Miles,781-284-6524,185 Holy Cross Junction,Male,amiles5@moonfruit.com,10/20/1975
7,Rahel Velez,124-637-1356,66 Main Point,Female,rvelez6@marriott.com,3/29/1988
8,Rodie Byrnes,870-201-3171,60330 Mifflin Point,Female,rbyrnes7@epa.gov,10/2/1974
9,Boone Luckman,306-153-1843,55801 Linden Terrace,Male,bluckman8@omniture.com,7/19/1971
10,Tarrance Leaver,185-594-9195,6 Fremont Avenue,Male,tleaver9@hp.com,7/24/1990
11,Gwynne Fley,341-120-6373,12 Cottonwood Junction,Female,gfleya@cocolog-nifty.com,4/13/1976
12,Chelsae Orris,972-259-4316,89514 Crownhardt Road,Female,corrisb@sitemeter.com,4/4/1984
13,Virgil Strowlger,123-131-3202,4280 2nd Circle,Male,vstrowlgerc@google.com.hk,2/4/1982
14,Rockey Maseres,943-237-6834,52 Brown Center,Male,rmaseresd@sourceforge.net,4/30/1976
15,Forrester Hubbuck,889-274-8621,2 Spenser Trail,Male,fhubbucke@hibu.com,1/17/1971
16,Alphonse Barrowcliff,887-716-2470,3 Melody Trail,Male,abarrowclifff@reference.com,2/27/1981
17,Michele Bandiera,506-767-2689,12 Porter Park,Male,mbandierag@nba.com,8/3/1974
18,Pearl Dooney,300-695-3587,56 Dawn Plaza,Female,pdooneyh@dmoz.org,1/14/1980
19,Penelope Dunderdale,425-165-6140,52937 Green Ridge Park,Female,pdunderdalei@nsw.gov.au,4/25/1986
20,Adrea Luty,157-411-8125,97 Barnett Park,Female,alutyj@businessinsider.com,3/15/1987
21,Phyllida Eustanch,673-781-7219,57 Sachtjen Street,Female,peustanchk@blogtalkradio.com,12/20/1975
22,Kattie Hruska,976-501-3425,6822 Rieder Alley,Female,khruskal@ted.com,4/8/1988
23,Letta Billham,720-847-9411,92 Briar Crest Place,Female,lbillhamm@free.fr,5/15/1988
24,Cos Romand,418-846-9883,62 Coolidge Avenue,Male,cromandn@msn.com,7/16/1985
25,Timothea Trevillion,400-583-8575,747 American Ash Lane,Female,ttrevilliono@google.de,2/15/1977
26,Roxie Verzey,695-972-0249,6 Redwing Center,Female,rverzeyp@hexun.com,2/12/1972
27,Colver Chevers,708-906-1248,6 Melrose Circle,Male,ccheversq@seattletimes.com,12/23/1977
28,Klaus Baudinet,432-301-3037,77968 Fulton Lane,Male,kbaudinetr@usnews.com,8/25/1983
29,Barbie Diess,625-510-3894,9685 Helena Crossing,Female,bdiesss@fastcompany.com,2/25/1971
30,Mona Ahearne,479-200-7159,6 Troy Center,Female,mahearnet@indiegogo.com,8/14/1977
